,label,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19
0,1,0.3368359,0.06351165,1696.7052200686348,1431.1232446229494,2933.7322601223877,0.11124989418053406,-303.57523,106.62643,-25.890207,37.252586,-9.949094,-5.522237,-24.393616,-9.7199545,-11.563435,-12.124377,-9.044215,-6.423308,-0.84597677,-12.567984,2.4097183,-4.1159773,-4.8934746,-3.6658115,-3.0458586,-4.0322084
1,1,0.3781688,0.058399957,1764.1490095394397,1430.6674499253124,3042.944099733335,0.11896677873452012,-293.1815,111.7526,-28.482618,46.729687,-11.983375,-2.3311598,-16.411201,-7.5696373,-16.398514,-7.694815,-6.0961914,-7.40978,-0.62291443,-12.032662,3.9223583,-4.6348085,-4.446428,-4.029218,-0.9650008,-5.2280426
2,1,0.35264602,0.062362235,1833.5568363304249,1468.8426731829181,3218.426371949376,0.12056767608359133,-288.69824,103.5717,-30.113932,47.908283,-14.977523,-1.5273815,-14.391148,-9.115054,-16.603935,-8.255202,-6.9372272,-7.224811,-1.4158018,-11.59948,5.2157726,-6.088192,-4.7362924,-1.9086888,-2.0594811,-6.432046
3,1,0.33889693,0.06741633,1804.7321766620194,1475.1448934020023,3180.9057654980165,0.1150839601876935,-279.9671,104.09683,-32.6432,46.467876,-16.014091,-5.86919,-15.257784,-8.302528,-18.786734,-7.8895674,-6.6976404,-8.520751,-1.375733,-12.435206,4.4383554,-6.6799912,-5.2084312,-1.8705273,-2.6067417,-6.6982994
4,1,0.3703833,0.060309988,1853.0982395378467,1463.5390383910994,3203.776460535386,0.12745860191321595,-280.9715,105.055145,-29.807947,48.993965,-11.076826,-2.735289,-15.336162,-8.39924,-15.979365,-7.639913,-6.9234447,-8.014032,-1.2052386,-11.476448,5.20997,-5.1365128,-5.1135025,-2.1925707,-1.6459286,-6.5815854
5,1,0.34803942,0.06398359,1731.435148989783,1421.3912037582736,2981.5569709329043,0.11040711771962074,-277.20642,110.1945,-29.690058,39.324768,-17.012371,-8.930426,-14.603374,-8.126393,-18.727009,-9.190461,-7.2456145,-7.6152267,-0.16070212,-10.98946,3.875536,-5.9171443,-6.2566676,-2.9904158,-2.4220507,-7.0320344
6,1,0.34509614,0.05626981,1659.8472565992918,1436.4035698601272,2932.869765337776,0.10789031510013544,-322.9281,102.94982,-19.358795,40.2667,-5.9115863,-4.821314,-22.952335,-11.172194,-10.719805,-9.999259,-9.859625,-6.3957057,-0.04494871,-13.401757,1.9296354,-3.2382205,-6.2011237,-3.1660938,-3.4612179,-4.360355
7,1,0.33145595,0.07336597,1766.9292558985264,1448.6943054074077,3085.2938436502272,0.11261345358455882,-276.82257,106.11675,-34.913185,42.000546,-17.973345,-6.783101,-18.808495,-10.06502,-18.647156,-8.356648,-7.1883044,-8.9776125,-0.30277076,-11.277325,4.1952524,-7.234875,-5.034337,-1.7787853,-3.252378,-6.077384
8,1,0.34824753,0.06293745,1695.0751218253527,1433.677165701066,2957.7071151497194,0.11156867532169118,-308.49344,103.92492,-21.849253,36.40126,-13.705879,-4.590723,-17.772387,-11.232934,-14.408795,-10.759922,-8.409294,-6.5784674,-2.2075756,-11.896971,2.0928,-5.0837784,-4.1415806,-3.2062483,-3.4747114,-4.982532
9,1,0.36681902,0.05464687,1814.9243225949679,1442.2122050225496,3152.5184371523073,0.11905899284055728,-306.06848,107.47667,-35.712383,54.53095,-10.08423,-1.5953014,-18.413797,-6.6053796,-17.197903,-8.122269,-8.206478,-7.918253,0.69378513,-13.687136,5.2320476,-5.412662,-5.5652437,-2.89432,-0.9518249,-6.0185623
10,1,0.32935,0.061340615,1667.0776023768399,1424.1277633004281,2872.274298416941,0.10817924003482972,-303.23163,106.747215,-23.675077,36.566063,-14.22873,-5.5098577,-21.792036,-9.791192,-12.766013,-11.469556,-7.9725385,-6.4432898,-0.49595538,-12.956355,2.577034,-4.8118987,-6.788229,-3.27168,-4.425099,-5.7913294
11,1,0.3354791,0.0705449,1840.042746780805,1459.2654732199478,3181.464095455205,0.12251569907362617,-271.87158,107.22547,-34.599586,45.666664,-14.866009,-4.5172753,-18.855608,-10.69065,-18.617775,-8.310949,-7.2823586,-9.740686,-0.66033655,-11.1462,5.196246,-6.1103725,-5.7188582,-1.7244866,-2.1949263,-6.978416
12,1,0.36139125,0.054022845,1723.7669021050979,1452.501545907797,3025.1942070645077,0.1143772373258514,-323.4108,100.93924,-24.536829,40.014126,-6.1650057,-3.8218884,-21.61214,-10.412288,-11.332468,-8.825002,-9.524474,-7.679774,0.0029687085,-12.717306,1.6735358,-3.438562,-5.7255692,-3.8944578,-3.0915005,-4.606692
13,1,0.39688244,0.056254394,1846.2521187581156,1457.736986968692,3209.038928713961,0.12426568849167957,-297.7926,104.69533,-37.90388,44.768703,-8.223409,0.20842268,-17.14045,-6.6722875,-16.291843,-6.3443303,-5.474492,-8.032382,0.9702194,-11.522564,5.108029,-4.7133846,-5.6182113,-2.4712975,-1.0821068,-6.1852965
14,1,0.3728637,0.06049798,1809.4517122576365,1461.1436605343936,3157.5434067670035,0.11941103152815402,-301.19882,102.58254,-31.48553,43.184696,-13.154251,-2.7657585,-14.916556,-6.1429744,-15.963705,-6.9703455,-5.1173244,-6.8120556,-0.07412167,-10.963419,4.1013885,-5.9503827,-4.4257216,-2.5160434,-1.7286607,-6.185274
15,1,0.367574,0.05864455,1821.996660340097,1435.0926564402525,3104.3603950240663,0.12407710308630031,-291.81393,108.56283,-32.06799,46.39777,-12.407571,-0.57099473,-18.75669,-8.558497,-14.332355,-7.1049247,-6.135737,-7.7997503,-0.11510512,-10.77148,4.6687436,-5.257054,-4.9740877,-3.4474456,-1.4000547,-6.144722
16,1,0.36904684,0.06217446,1912.1191046344043,1477.519698522982,3278.421842498307,0.12747126245646284,-283.75787,99.257095,-32.020218,46.55591,-14.065556,-4.5492764,-12.809443,-6.8489184,-17.040646,-6.8406563,-5.86285,-8.078229,-1.6428406,-11.83552,3.7701812,-5.834306,-4.045012,-3.011602,-1.9228806,-5.5029526
17,1,0.3997202,0.054575782,1789.3650302373374,1455.0863700814998,3148.1642968145316,0.12185205985148993,-301.72577,104.894424,-31.862413,42.637646,-11.078933,-1.6554282,-14.239351,-6.92738,-15.76547,-5.182208,-3.9631174,-7.029983,-0.10828567,-9.8942375,3.9682138,-5.655148,-4.264549,-3.6486242,-1.8446264,-5.925475
18,1,0.34474492,0.07165859,1849.8651332482812,1468.4499993045001,3236.163764693789,0.12084016120839783,-274.0024,100.951385,-35.58079,42.142174,-14.798208,-6.796867,-17.74239,-9.287868,-18.903502,-6.957289,-5.739871,-9.326045,0.14590804,-10.823576,4.219029,-5.755935,-5.486189,-2.5228598,-2.2946272,-6.1963863
19,1,0.33590466,0.0693796,1874.5667005311216,1473.3370396947728,3257.5969684234715,0.12129556283862229,-274.07574,103.552635,-36.79743,51.685722,-14.006691,-2.634994,-18.311905,-8.919692,-18.203884,-8.065389,-7.841916,-10.639784,-0.6810436,-11.553559,5.2810383,-6.8921947,-4.663392,-1.8923227,-2.9411385,-6.1834426
20,1,0.3789405,0.048864927,1804.7444087783658,1467.9404921324335,3121.535291169819,0.12167103297939241,-342.92792,95.34699,-22.545544,38.377644,-7.255375,-2.5664093,-18.488508,-10.279214,-11.75793,-8.637592,-8.568389,-5.545822,0.044839013,-12.234249,1.504387,-3.9752293,-4.0733356,-3.6187274,-3.9211025,-4.371616
21,1,0.3190157,0.070215985,1612.2156798318442,1400.5997523529707,2798.0414139597037,0.10211899701286764,-288.14896,111.24651,-22.696377,43.08102,-7.458462,-7.1759043,-25.310469,-13.665399,-13.27089,-10.199087,-10.430014,-7.7975726,0.25650874,-13.575576,2.3812315,-3.9860556,-6.861468,-2.347142,-3.711985,-5.4593773
22,1,0.37606272,0.05396455,1725.9701295963546,1423.9419637939666,3005.0609954739502,0.11691860517850232,-305.09705,105.07283,-27.141,36.352142,-10.475268,-5.674731,-15.693538,-9.302089,-15.940161,-7.9795027,-6.060816,-7.730797,-1.1490608,-10.0325575,3.1525822,-3.8254473,-4.524606,-3.3677545,-1.5420129,-5.3434515
23,1,0.33033448,0.06682366,1741.2722410006816,1431.0883287453232,2975.2570090279123,0.11489197344233747,-291.70926,109.15308,-27.95681,41.96079,-17.89897,-3.6664443,-22.86792,-10.277933,-14.017971,-10.668272,-8.674478,-6.8041162,0.2821305,-13.4433565,3.183011,-5.487854,-5.5240064,-3.685519,-3.4615,-5.8440824
